"CategoryId"	"ParentCategoyrId"	"Position"
"special-features-print-crop-tops"	"hidden categories"	"13"
"special-features-backless-tank-tops"	"hidden categories"	"14"
"special-features-5-5-sale"	"hidden categories"	"15"
"special-features-5-5-sale-sandals"	"hidden categories"	"16"
"special-features-5-5-sale-jewelry"	"hidden categories"	"17"
"special-features-5-5-sale-scarves"	"hidden categories"	"18"
"special-features-5-5-sale-sunglasses"	"hidden categories"	"19"
"special-features-steals-tops"	"hidden categories"	"20"
"special-features-steals-online-only"	"hidden categories"	"21"
"special-features-plusbottoms"	"hidden categories"	"22"
"special-features-weekend-deals-jeans-sweaters"	"hidden categories"	"23"
"special-features-steals-plustops"	"hidden categories"	"24"
"special-features-steals-jeans"	"hidden categories"	"25"
"special-features-spring-break-daily-deal"	"hidden categories"	"26"
"special-features-crochet"	"hidden categories"	"27"
"special-features-steals-maxi-dresses-and-skirts"	"hidden categories"	"28"
"special-feature-jelly-sandals"	"hidden categories"	"29"
"special-features-steals-jeans-boots"	"hidden categories"	"30"
"special-features-steals-plus-jeans"	"hidden categories"	"31"
"special-features-steals-top-and-jeans"	"hidden categories"	"32"
"special-features-steals-plus-tops"	"hidden categories"	"33"
"special-features-19.50-jackets-boots-blue-asphalt"	"hidden categories"	"34"
"special-features-cold-weather-clothing"	"hidden categories"	"35"
"special-features-plus-cold-weather-clothing"	"hidden categories"	"36"
"special-features-steals-sweaters"	"hidden categories"	"37"
"special-features-steals-shop-all"	"hidden categories"	"38"
"clothing"	""	"11"
"clothing-tops"	"clothing"	"0"
"clothing-5for20basics"	"clothing"	"1"
"5for20-camisandtanks"	"clothing-5for20basics"	"0"
"clothing-5for20-tees"	"clothing-5for20basics"	"1"
"clothing-5for20-shorts"	"clothing-5for20basics"	"2"
"clothing-5for20-leggings"	"clothing-5for20basics"	"3"
"clothing-sweaters"	"clothing"	"2"
"sweaters-cardigans"	"clothing-sweaters"	"0"
"sweaters-wraps"	"clothing-sweaters"	"1"
"sweaters-pullover"	"clothing-sweaters"	"2"
"clothing-dresses"	"clothing"	"3"
"clothing-jeans"	"clothing"	"4"
"jeans-blue-asphalt"	"clothing-jeans"	"0"
"blue-asphalt-fashionista"	"jeans-blue-asphalt"	"0"
"blue-asphalt-second-skin"	"jeans-blue-asphalt"	"1"
"blue-asphalt-uptown"	"jeans-blue-asphalt"	"2"
"blue-asphalt-memphis"	"jeans-blue-asphalt"	"3"
"clothing-bottoms"	"clothing"	"5"
"clothing-bottoms-pants"	"clothing-bottoms"	"0"
"bottoms-midiandmaxiskirts"	"clothing-bottoms"	"1"
"clothing-bottoms-skirts"	"clothing-bottoms"	"2"
"clothing-bottoms-leggings"	"clothing-bottoms"	"3"
"clothing-bottoms-shorts"	"clothing-bottoms"	"4"
"clothing-bottoms-overalls"	"clothing-bottoms"	"5"
"clothing-leggings"	"clothing"	"6"
"clothing-jackets"	"clothing"	"7"
"jackets-blazers"	"clothing-jackets"	"0"
"jackets-fauxleather"	"clothing-jackets"	"1"
"jackets-denim"	"clothing-jackets"	"2"
"jackets-vests"	"clothing-jackets"	"3"
"jackets-fleece"	"clothing-jackets"	"4"
"jackets-baseball"	"clothing-jackets"	"5"
"jackets-anorak"	"clothing-jackets"	"6"
"jackets-other"	"clothing-jackets"	"7"
"clothing-active"	"clothing"	"8"
"active-bottoms"	"clothing-active"	"0"
"active-tops"	"clothing-active"	"1"
"active-rampage"	"clothing-active"	"2"
"active-lookbook"	"clothing-active"	"3"
"clothing-intimates"	"clothing"	"9"
"intimates-bras"	"clothing-intimates"	"0"
"intimates-thongs"	"clothing-intimates"	"1"
"intimates-boyshorts"	"clothing-intimates"	"2"
"intimates-sleepwear"	"clothing-intimates"	"3"
"intimates-swimwear"	"clothing-intimates"	"4"
"jeans"	""	"12"
"jeans-blueasphalt"	"jeans"	"0"
"blueasphalt-fashionista"	"jeans-blueasphalt"	"0"
"blueasphalt-uptown"	"jeans-blueasphalt"	"1"
"blueasphalt-memphis"	"jeans-blueasphalt"	"2"
"blueasphalt-secondskin"	"jeans-blueasphalt"	"3"
"Denim Guide"	"jeans-blueasphalt"	"4"
"jeans-destroyed"	"jeans"	"1"
"jeans-skinny"	"jeans"	"2"
"jeans-jeggings"	"jeans"	"3"
"jeans-boot"	"jeans"	"4"
"jeans-overalls"	"jeans"	"5"
"AmazonTest"	""	"13"
"all-help-topics"	""	"14"
"hidden-categories-trends"	""	"15"
"trends-spring-tops"	"hidden-categories-trends"	"0"
"trends-valentines"	"hidden-categories-trends"	"1"
"trends-plus-valentines"	"hidden-categories-trends"	"2"
"trends-plaid"	"hidden-categories-trends"	"3"
